Cluster,Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-,d2h
0,3.0,1.0,4.0,4.5,7.99,4.74,0.507
1,3.0,1.0,1.0,4.5,7.99,4.73,0.5
2,4.0,0.0,4.0,4.5,7.01,4.94,0.571
3,4.0,0.0,1.0,4.5,7.01,4.94,0.571
4,4.0,0.0,2.0,4.5,7.01,4.94,0.571
5,4.0,0.0,3.0,4.5,7.01,4.94,0.571
6,5.0,1.0,4.0,4.5,7.21,4.98,0.615
7,5.0,1.0,1.0,4.5,7.21,4.97,0.607
8,5.0,1.0,2.0,4.5,7.21,4.98,0.615
9,5.0,1.0,3.0,4.5,7.21,4.98,0.615
10,3.0,1.0,2.0,4.5,7.99,4.74,0.507
11,5.0,0.0,4.0,4.5,6.76,5.0,0.611
12,5.0,0.0,1.0,4.5,6.76,5.0,0.611
13,5.0,0.0,2.0,4.5,6.76,5.0,0.611
14,5.0,0.0,3.0,4.5,6.76,5.0,0.611
15,3.0,1.0,3.0,4.5,7.99,4.74,0.507
16,6.0,1.0,4.0,4.5,7.06,5.0,0.624
17,6.0,1.0,1.0,4.5,7.06,5.0,0.624
18,6.0,1.0,2.0,4.5,7.06,5.0,0.624
19,6.0,1.0,3.0,4.5,7.06,5.0,0.624
20,6.0,0.0,4.0,4.5,6.63,5.02,0.624
21,6.0,0.0,1.0,4.5,6.63,5.02,0.624
22,6.0,0.0,2.0,4.5,6.63,5.02,0.624
23,6.0,0.0,3.0,4.5,6.63,5.02,0.624
24,7.0,1.0,1.0,4.5,6.98,5.01,0.628
25,7.0,1.0,2.0,4.5,6.98,5.01,0.628
26,7.0,1.0,3.0,4.5,6.98,5.01,0.628
27,7.0,0.0,1.0,4.5,6.55,5.03,0.631
28,7.0,0.0,2.0,4.5,6.55,5.03,0.631
29,3.0,0.0,4.0,4.5,7.5,4.77,0.472
30,3.0,0.0,1.0,4.5,7.5,4.77,0.472
31,3.0,0.0,2.0,4.5,7.5,4.77,0.472
32,3.0,0.0,3.0,4.5,7.5,4.77,0.472
33,4.0,1.0,4.0,4.5,7.47,4.92,0.585
34,4.0,1.0,1.0,4.5,7.47,4.92,0.585
35,4.0,1.0,2.0,4.5,7.47,4.92,0.585
36,4.0,1.0,3.0,4.5,7.47,4.92,0.585
